keyword,volume,url,kind,deal,property_type,province,district,rank_latest,cate2,cate3,sheet_province,sheet_district
nhà đất,5.400,https://muaban.net/bat-dong-san,cate,,,,,ngoai top 30,Bất động sản,Bất động sản,Toàn quốc,
Mua bán nhà đất,2.900,https://muaban.net/bat-dong-san,cate,,,,,4,Bất động sản,Bất động sản,Toàn quốc,
Mua bán bất động sản,1.000,https://muaban.net/bat-dong-san,cate,,,,,7,Bất động sản,Bất động sản,Toàn quốc,
sang quán cafe dưới 60tr,210,https://muaban.net/tags/sang-quan-cafe-duoi-60-trieu,tag,,,,,2,Tags,Tags,,
sang quán cafe bình thạnh giá rẻ,110,https://muaban.net/tags/sang-quan-cafe-binh-thanh,tag,,,,,8,Tags,Tags,,
sang quán cafe thủ đức,110,https://muaban.net/tags/sang-quan-cafe-thu-duc,tag,,,,,10,Tags,Tags,,
sang quán cơm giá rẻ tphcm,110,https://muaban.net/tags/sang-quan-com-gia-re-tphcm,tag,,,,quan-com-gia,4,Tags,Tags,,
sang tiệm tóc nữ giá rẻ,110,https://muaban.net/tags/sang-tiem-toc-nu-gia-re,tag,,,,,9,Tags,Tags,,
sang tiệm tạp hóa nhỏ,110,https://muaban.net/tags/sang-tiem-tap-hoa-nho,tag,,,,,1,Tags,Tags,,
căn hộ 1 phòng ngủ,720,https://muaban.net/tags/can-ho-1-phong-ngu,tag,,can ho,,,ngoai top 30,Cho thuê nhà đất,Tags,Lâm Đồng,TP. Đà Lạt
căn hộ 2 phòng ngủ,720,https://muaban.net/tags/can-ho-2-phong-ngu,tag,,can ho,,,5,Mua bán nhà đất,Tags,Hà Nội,Quận Hà Đông
chung cư cũ,590,https://muaban.net/tags/chung-cu-cu,tag,,can ho,,,ngoai top 30,Cho thuê nhà đất,Tags,Thừa Thiên Huế,
bán chung cư 3 phòng ngủ,480,https://muaban.net/tags/chung-cu-3-phong-ngu,tag,,can ho,,,9,Tags,Tags,,
chung cư 3 phòng ngủ,480,https://muaban.net/tags/chung-cu-3-phong-ngu,tag,,can ho,,,6,Mua bán nhà đất,Tags,Bắc Ninh,Huyện Thuận Thành
mua chung cư trả góp dưới 1 tỷ,140,https://muaban.net/tags/mua-chung-cu-tra-gop-duoi-1-ty,tag,,can ho,,,17,Tags,Tags,,
mua nhà dưới 300 triệu,880,https://muaban.net/tags/mua-nha-nho-duoi-300-trieu,tag,,nha,,,4,Tags,Tags,,
mua nhà nhỏ dưới 300 triệu,880,https://muaban.net/tags/mua-nha-nho-duoi-300-trieu,tag,,nha,,,8,Mua bán nhà đất,Tags,TPHCM,Huyện Bình Chánh
bán nhà sổ hồng riêng dưới 2 tỷ,480,https://muaban.net/tags/nha-so-hong-rieng-duoi-2-ty,tag,,nha,,,6,Tags,Tags,,
nhà sổ hồng riêng dưới 2 tỷ,480,https://muaban.net/tags/nha-so-hong-rieng-duoi-2-ty,tag,,nha,,,8,Mua bán nhà đất,Tags,Long An,Huyện Cần Đước
mua nhà quận 12 sổ hồng riêng,170,https://muaban.net/tags/mua-nha-quan-12-co-so-hong-rieng,tag,,nha,,quan-12-co,4,Tags,Tags,,
nhà bình tân dưới 2 tỷ,170,https://muaban.net/tags/nha-binh-tan-duoi-2-ty,tag,,nha,,,3,Tags,Tags,,
mua nhà dưới 500 triệu ở quận 8,140,https://muaban.net/tags/mua-nha-duoi-500-trieu-quan-8,tag,,nha,,quan-8,6,Tags,Tags,,
bán nhà hòa xuân đà nẵng dưới 3 tỷ,110,https://muaban.net/tags/nha-phuong-hoa-xuan-quan-cam-le-duoi-3-ty,tag,,nha,,quan-cam-le,5,Tags,Tags,,
mua nhà quận thanh xuân từ 2 đến 3 tỷ,110,https://muaban.net/tags/mua-nha-quan-thanh-xuan-tu-2-den-3-ty,tag,,nha,,quan-thanh-xuan,8,Tags,Tags,,
nhà hẻm xe hơi quận 10,100,https://muaban.net/tags/nha-hem-xe-hoi-quan-10,tag,,nha,,quan-10,9,Tags,Tags,,
cho thuê nhà trọ sinh viên,3.600,https://muaban.net/tags/phong-tro-sinh-vien,tag,,"nha tro, phong tro",,,ngoai top 30,Tags,Tags,,
nhà trọ sinh viên,3.600,https://muaban.net/tags/phong-tro-sinh-vien,tag,,"nha tro, phong tro",,,ngoai top 30,Bất động sản,Tags,Tiền Giang,
phòng trọ giá 800k,720,https://muaban.net/tags/tim-phong-tro-gia-800k,tag,,"nha tro, phong tro",,,10,Tags,Tags,,
tìm phòng trọ giá 800k,720,https://muaban.net/tags/tim-phong-tro-gia-800k,tag,,"nha tro, phong tro",,,10,Bất động sản,Tags,Đồng Tháp,Huyện Cao Lãnh
phòng trọ cao cấp,390,https://muaban.net/tags/phong-tro-cao-cap,tag,,"nha tro, phong tro",,,5,Mua bán nhà đất,Tags,Khánh Hòa,TP. Nha Trang
