claim_id,claim,claim_type,risk,source_type,source_url,source_title,published_date,effective_date,retrieved_date,supporting_quote,status,note,wiki_ref
C01,"UEH có 10 cơ sở học tập tại TP.HCM, ký hiệu A, B, C, D, E, H, I, N, V và 144",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở A: 59C Nguyễn Ðình Chiểu, phường Xuân Hòa",VERIFIED,Danh sach day du lay tu thong bao cua chinh truong. Day la xuong song cua bai: nguoi doc phai biet minh hoc co so nao truoc khi chon khu tro. Tra cuu ngay 18/09/2026.,
C02,"Địa chỉ các cơ sở UEH được cập nhật từ ngày 01/7/2025 do sắp xếp đơn vị hành chính cấp xã, vị trí thực tế không đổi",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,Căn cứ các Nghị quyết của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã,VERIFIED,"Quan trong voi nguoi tim tro: tin dang va bai viet cu con ghi ten phuong cu, de tim nham khu.",
C03,"Cơ sở A của UEH ở 59C Nguyễn Đình Chiểu, phường Xuân Hòa",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở A: 59C Nguyễn Ðình Chiểu, phường Xuân Hòa",VERIFIED,,
C04,"Cơ sở B của UEH ở 279 Nguyễn Tri Phương, phường Diên Hồng",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở B: 279 Nguyễn Tri Phương, phường Diên Hồng",VERIFIED,,
C05,"Cơ sở C của UEH ở 91 đường 3/2, phường Vườn Lài",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở C: 91 đường 3/2, phường Vườn Lài",VERIFIED,,
C06,"Cơ sở N của UEH nằm trên đường Nguyễn Văn Linh, Khu chức năng số 15, xã Bình Hưng",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở N: Đường Nguyễn Văn Linh, Khu chức năng số 15, xã Bình Hưng",VERIFIED,Co so xa trung tam nhat. Day la cai bay chinh cua bai: thue tro gan co so A roi phat hien lich hoc o co so N.,
C07,"UEH có hai ký túc xá: KTX 1 ở 135 Trần Hưng Đạo, phường Cầu Ông Lãnh và KTX 2 ở 43-45 Nguyễn Chí Thanh, phường An Đông",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"KTX 1: 135 Trần Hưng Đạo, phường Cầu Ông Lãnh",VERIFIED,,
C08,"Cơ sở D ở 196 Trần Quang Khải và cơ sở E ở 54 Nguyễn Văn Thủ, cùng phường Tân Định",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở D: 196 Trần Quang Khải, phường Tân Định",VERIFIED,,
C09,"Cơ sở H ở 1A Hoàng Diệu phường Phú Nhuận, cơ sở I ở 17 Phạm Ngọc Thạch phường Xuân Hòa, cơ sở V ở 232/6 Võ Thị Sáu phường Xuân Hòa, cơ sở 144 ở Phạm Đức Sơn phường Phú Định",FACT,MED,GOV,https://hotro.ueh.edu.vn/bai-viet/dia-chi-cac-co-so-cua-ueh-12008,Thông báo về việc thay đổi địa chỉ các cơ sở của UEH — hotro.ueh.edu.vn,,2025-07-01,2026-09-18,"Cơ sở H: 1A Hoàng Diệu, phường Phú Nhuận",VERIFIED,,
C10,Khoảng giá thuê phòng trọ và căn hộ mini quanh từng cơ sở UEH,FACT,MED,NONE,,,,,2026-09-18,,GAP,"Doi thu co nêu (2-5 trieu, 4-6 trieu...) nhung DO LA SO CUA HO, khong phai nguon. Khong tinh duoc trung vi tu tin dang Muaban.net trong luot nay. Bai KHONG duoc nêu con so; thay bang huong dan tu loc tin theo phuong va khoang gia.",
C11,Số tin đăng cho thuê phòng trọ đang mở quanh từng cơ sở trên Muaban.net,FACT,LOW,MARKETPLACE,,,,,2026-09-18,,GAP,Can dem that tren Muaban.net kem ky va pham vi dia ly moi duoc viet (quy tac du lieu tin dang).,
C12,Quy định người thuê trọ có phải đăng ký tạm trú hay không và thủ tục thế nào,FACT,HIGH,NONE,,,,,2026-09-18,,GAP,"Doi thu vi tri 3 co muc nay. Chua tra duoc dieu khoan goc ve cu tru. Rui ro cao nen KHONG duoc viet theo tri nho — hoac tra ra van ban, hoac khai bao bo khoi outline.",
C13,Các trường hợp chấm dứt hợp đồng thuê trọ và quyền của người thuê,FACT,HIGH,NONE,,,,,2026-09-18,,GAP,Doi thu vi tri 4 co muc nay. Chua tra duoc dieu khoan goc. Khai bao bo khoi outline.,
